trat;luz;temp;sub;umidade;rep;germ;plant;plantm;rm;plantanorm
114;escuro;20;EP;umido;3;5;5;5;0;0
115;escuro;20;SV;seco;1;7;7;3;0;0
115;escuro;20;SV;seco;2;7;7;3;0;0
115;escuro;20;SV;seco;3;7;7;3;0;0
116;escuro;20;SV;intermed;1;7;6;3;0;1
116;escuro;20;SV;intermed;2;6;6;4;0;0
116;escuro;20;SV;intermed;3;4;4;6;0;0
117;escuro;20;SV;umido;1;6;6;4;0;0
117;escuro;20;SV;umido;2;6;6;4;0;0
117;escuro;20;SV;umido;3;7;7;3;0;0
118;escuro;20;EV;seco;1;7;7;3;0;0
118;escuro;20;EV;seco;2;4;4;6;0;0
118;escuro;20;EV;seco;3;7;7;3;0;0
119;escuro;20;EV;intermed;1;3;3;7;0;0
119;escuro;20;EV;intermed;2;6;6;4;0;0
119;escuro;20;EV;intermed;3;2;2;8;0;0
120;escuro;20;EV;umido;1;3;3;7;0;0
120;escuro;20;EV;umido;2;2;2;8;0;0
120;escuro;20;EV;umido;3;4;4;6;0;0
121;escuro;20;SA;seco;1;4;4;6;0;0
121;escuro;20;SA;seco;2;5;4;5;1;0
121;escuro;20;SA;seco;3;9;9;1;0;0
122;escuro;20;SA;intermed;1;7;7;3;0;0
122;escuro;20;SA;intermed;2;5;4;5;1;0
122;escuro;20;SA;intermed;3;5;5;5;0;0
123;escuro;20;SA;umido;1;5;5;5;0;0
123;escuro;20;SA;umido;2;7;7;3;0;0
123;escuro;20;SA;umido;3;4;4;6;0;0
124;escuro;20;EA;seco;1;4;4;6;0;0
124;escuro;20;EA;seco;2;0;0;10;0;0
124;escuro;20;EA;seco;3;2;2;8;0;0
125;escuro;20;EA;intermed;1;6;6;4;0;0
125;escuro;20;EA;intermed;2;2;2;8;0;0
125;escuro;20;EA;intermed;3;2;2;8;0;0
126;escuro;20;EA;umido;1;7;7;3;0;0
126;escuro;20;EA;umido;2;1;1;9;0;0
126;escuro;20;EA;umido;3;0;0;10;0;0
127;escuro;25;RP;seco;1;8;8;2;0;0
127;escuro;25;RP;seco;2;5;5;5;0;0
127;escuro;25;RP;seco;3;9;9;1;0;0
128;escuro;25;RP;intermed;1;9;9;1;0;0
128;escuro;25;RP;intermed;2;3;3;7;0;0
128;escuro;25;RP;intermed;3;6;6;4;0;0
129;escuro;25;RP;umido;1;6;6;4;0;0
129;escuro;25;RP;umido;2;7;7;3;0;0
129;escuro;25;RP;umido;3;5;5;5;0;0
130;escuro;25;SP;seco;1;9;9;1;0;0
130;escuro;25;SP;seco;2;6;6;4;0;0
130;escuro;25;SP;seco;3;7;7;3;0;0
131;escuro;25;SP;intermed;1;10;10;0;0;0
131;escuro;25;SP;intermed;2;0;0;10;0;0
131;escuro;25;SP;intermed;3;7;7;3;0;0
132;escuro;25;SP;umido;1;9;9;1;0;0
132;escuro;25;SP;umido;2;3;1;7;2;0
132;escuro;25;SP;umido;3;6;6;4;0;0
133;escuro;25;EP;seco;1;5;5;5;0;0
133;escuro;25;EP;seco;2;4;4;6;0;0
133;escuro;25;EP;seco;3;3;3;7;0;0
134;escuro;25;EP;intermed;1;3;3;7;0;0
134;escuro;25;EP;intermed;2;7;7;3;0;0
134;escuro;25;EP;intermed;3;0;0;10;0;0
135;escuro;25;EP;umido;1;7;7;3;0;0
135;escuro;25;EP;umido;2;0;0;10;0;0
135;escuro;25;EP;umido;3;7;7;3;0;0
